season,week,season_rule,celebrity_name,exit_type,exit_week,elim_this_week,judge_pct,fan_pct_mean,fan_p05,fan_p95,rsd_pct,rci90_pct
1,1,rank_classic,Evander Holyfield,eliminated,3.0,0,0.1651376146788991,0.16352893157133438,0.13348994859232863,0.19671216470728278,11.511314809532445,37.93332966897249
1,1,rank_classic,Joey McIntyre,eliminated,5.0,0,0.1834862385321101,0.21071666056570343,0.16932772761700732,0.2572927804890007,12.803309607263543,41.74565629306995
1,1,rank_classic,John O'Hurley,eliminated,6.0,0,0.1834862385321101,0.1956326620764784,0.14842152755282198,0.2519855031350029,16.296250318191564,52.9379779853401
1,1,rank_classic,Kelly Monaco,,,0,0.11926605504587157,0.13111258579550739,0.1052127631736716,0.15924858608426457,10.113930036165142,32.42149374635578
1,1,rank_classic,Rachel Hunter,eliminated,4.0,0,0.1834862385321101,0.16689800885633344,0.13221062955196933,0.2083376069105404,13.97517971787586,45.61287332319316
1,1,rank_classic,Trista Sutter,eliminated,2.0,0,0.1651376146788991,0.13211115113464303,0.1057786065274226,0.15918919488472594,9.848055066825468,32.046353014382
1,2,rank_classic,Evander Holyfield,eliminated,3.0,0,0.11570247933884298,0.16446689345541696,0.14047060483854987,0.1918642706986607,9.493393936831714,30.836199516066493
1,2,rank_classic,Joey McIntyre,eliminated,5.0,0,0.17355371900826447,0.2052815980212424,0.1685702866160611,0.24553674963069866,11.561684030927069,37.493113730863065
1,2,rank_classic,John O'Hurley,eliminated,6.0,0,0.21487603305785125,0.19001986358715334,0.14698986748823822,0.24236283496307065,15.544370672579142,50.19105143767733
1,2,rank_classic,Kelly Monaco,,,0,0.14049586776859505,0.14797740342809007,0.1240284335876086,0.17416027633821204,9.469816520295382,30.07910565036207
1,2,rank_classic,Rachel Hunter,eliminated,4.0,0,0.19834710743801653,0.1609950177470608,0.1317504270617486,0.19746693962432654,12.26179803460249,39.42990753754676
1,2,rank_classic,Trista Sutter,eliminated,2.0,1,0.15702479338842976,0.13125922376103644,0.10874689122799809,0.1512674213521477,8.06359347728221,25.512318074489777
1,3,rank_classic,Evander Holyfield,eliminated,3.0,1,0.12264150943396226,0.1849526174702523,0.1572381386993696,0.21258948189809618,8.30246963419795,27.675671599363294
1,3,rank_classic,Joey McIntyre,eliminated,5.0,0,0.20754716981132076,0.23154302208693653,0.19959254308613775,0.26968615915675076,9.47061400133673,30.272394062601137
1,3,rank_classic,John O'Hurley,eliminated,6.0,0,0.22641509433962265,0.21558415865439295,0.17357247579846358,0.2695997554110519,13.360062390359236,44.54282736355016
1,3,rank_classic,Kelly Monaco,,,0,0.19811320754716982,0.18702625085835384,0.1560252826590427,0.21872146826300698,10.329095719301687,31.34809280198214
1,3,rank_classic,Rachel Hunter,eliminated,4.0,0,0.24528301886792453,0.18089395093006436,0.14909751625419398,0.21449220973318125,9.802321279442783,32.69734673949363
1,4,rank_classic,Joey McIntyre,eliminated,5.0,0,0.21739130434782608,0.27815702104426004,0.24914471713145508,0.3168535703676839,7.597237798137709,24.341953685740354
